Ip Address, Food Name, Calories, Meal Time, Day
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Chicken,234.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Chicken,234.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Chicken,234.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Chicken,234.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Chicken,234.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Chicken,234.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Chicken,234.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Rice,147.0,Breakfast,Sunday
148.85.189.15,Chicken,234.0,Breakfast,Sunday
107.77.161.4,Rice,147.0,Breakfast,Sunday
107.77.161.4,Rice,147.0,Breakfast,Sunday
107.77.161.4,Chicken,234.0,Breakfast,Sunday
